fish_id,name_english,name_latin,origin,phmin,phmax,temperature_min,temperature_max,cm_max,tank_size_liter,image_url,swim
492,African Banded Barb,Barbus fasciolatus,Africa,5.0,6.5,20.0,26.0,6.0,75.0,https://selectyourfish.com/webps1/492.webp,2
493,Brevis Shell Dweller,Neolamprologus brevis,Lake Tanganyika,7.5,9.0,23.0,27.0,6.0,60.0,https://selectyourfish.com/webps1/493.webp,2
494,Brittan’s rasbora,Kottelatia brittani,Malaysia,6.0,7.5,20.0,26.0,6.0,60.0,https://selectyourfish.com/webps1/494.webp,2
495,Ceros Tetra,Moenkhausia ceros,"Peru, Brazil",5.5,7.0,24.0,28.0,5.0,60.0,https://selectyourfish.com/webps1/495.webp,2
496,Checkered Barb,Oliotius oligolepis ,Sumatra,5.5,7.5,20.0,26.0,4.5,60.0,https://selectyourfish.com/webps1/496.webp,2
497,Crocodile Catfish,Bagarius suchus,"Thailand, Laos, Cambodia",65.0,7.5,18.0,23.0,70.0,2500.0,https://selectyourfish.com/webps1/497.webp,1
498,White-Spotted Cichlid,Tropheus duboisi,Lake Tanganyika,7.5,9.0,23.0,28.0,12.0,110.0,https://selectyourfish.com/webps1/498.webp,2
499,Chukai Betta,Betta tussyae,Malaysia,5.0,6.5,23.0,28.0,4.0,40.0,https://selectyourfish.com/webps1/499.webp,2
500,Clown Barb,Barbodes everetti ,Bornea,6.0,7.0,18.0,28.0,12.0,150.0,https://selectyourfish.com/webps1/500.webp,2
501,Burmese Badis,Badis ruber ,"Myanmar, Thailand, Laos",6.5,7.5,18.0,25.0,5.0,75.0,https://selectyourfish.com/webps1/501.webp,2
900,Cherry Shrimp,Neocaridina davidi,Taiwan,6.5,8.0,15.0,29.0,4.0,20.0,,1
901,Amano Shrimp,Caridina multidentata,Japan,6.0,7.5,15.0,27.0,5.0,30.0,,1
902,Bamboo Shrimp,Atyopsis moluccensis,Southeast Asia,6.5,7.5,22.0,29.0,10.0,50.0,,1
